"id","item","resp","cov_ideology","cov_party_id","cov_age_band","cov_gender"
149,IMM_3,3,1,1,30-39,Male
154,IMM_4,0,1,2,18-29,Female
154,IMM_7,0,1,2,18-29,Female
154,IMM_8,2,1,2,18-29,Female
154,IMM_6,2,1,2,18-29,Female
154,IMM_1,0,1,2,18-29,Female
154,IMM_3,4,1,2,18-29,Female
154,IMM_9,4,1,2,18-29,Female
154,IMM_10,4,1,2,18-29,Female
154,IMM_5,0,1,2,18-29,Female
154,IMM_2,0,1,2,18-29,Female
158,IMM_10,3,1,1,40-49,Male
158,IMM_5,4,1,1,40-49,Male
158,IMM_4,3,1,1,40-49,Male
158,IMM_8,4,1,1,40-49,Male
158,IMM_3,0,1,1,40-49,Male
158,IMM_2,4,1,1,40-49,Male
158,IMM_1,4,1,1,40-49,Male
158,IMM_6,4,1,1,40-49,Male
158,IMM_7,4,1,1,40-49,Male
158,IMM_9,4,1,1,40-49,Male
164,IMM_6,4,1,3,18-29,Female
164,IMM_8,4,1,3,18-29,Female
164,IMM_10,3,1,3,18-29,Female
164,IMM_4,3,1,3,18-29,Female
164,IMM_3,4,1,3,18-29,Female
164,IMM_1,0,1,3,18-29,Female
164,IMM_9,4,1,3,18-29,Female
164,IMM_7,0,1,3,18-29,Female
164,IMM_2,1,1,3,18-29,Female
164,IMM_5,0,1,3,18-29,Female
165,IMM_1,3,1,1,60-69,Female
165,IMM_3,4,1,1,60-69,Female
165,IMM_10,3,1,1,60-69,Female
165,IMM_6,3,1,1,60-69,Female
165,IMM_5,0,1,1,60-69,Female
165,IMM_9,4,1,1,60-69,Female
165,IMM_7,2,1,1,60-69,Female
165,IMM_2,4,1,1,60-69,Female
165,IMM_4,1,1,1,60-69,Female
165,IMM_8,4,1,1,60-69,Female
167,IMM_4,1,1,1,60-69,Female
167,IMM_8,2,1,1,60-69,Female
167,IMM_5,2,1,1,60-69,Female
167,IMM_10,3,1,1,60-69,Female
167,IMM_7,3,1,1,60-69,Female
167,IMM_2,3,1,1,60-69,Female
167,IMM_6,1,1,1,60-69,Female
167,IMM_3,1,1,1,60-69,Female
167,IMM_9,3,1,1,60-69,Female
167,IMM_1,1,1,1,60-69,Female
184,IMM_9,4,1,1,40-49,Male
184,IMM_4,0,1,1,40-49,Male
184,IMM_5,4,1,1,40-49,Male
184,IMM_10,4,1,1,40-49,Male
184,IMM_2,4,1,1,40-49,Male
184,IMM_3,4,1,1,40-49,Male
184,IMM_7,4,1,1,40-49,Male
184,IMM_8,4,1,1,40-49,Male
184,IMM_6,4,1,1,40-49,Male
184,IMM_1,4,1,1,40-49,Male
189,IMM_4,0,1,1,50-59,Female
189,IMM_7,0,1,1,50-59,Female
189,IMM_9,2,1,1,50-59,Female
189,IMM_2,1,1,1,50-59,Female
189,IMM_1,0,1,1,50-59,Female
189,IMM_6,1,1,1,50-59,Female
189,IMM_8,4,1,1,50-59,Female
189,IMM_5,0,1,1,50-59,Female
189,IMM_10,3,1,1,50-59,Female
